Beer,Brewery,Style,YourRating,GlobalRating
Roxie Irish Red,Boone Valley Brewing Company,Red Ale - Irish,3.25,3.59
Willettized Coffee Stout,Lagunitas Brewing Company,Stout - Imperial / Double Coffee,4,4.16
Year 9 (Teal Label),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.43
Hazel,Mortalis Brewing Company,Stout - Imperial / Double Coffee,4.5,4.41
Nightmare On Brett (Aged in Leopold Bros Whiskey Barrels),Crooked Stave Artisan Beer Project,Wild Ale - American,4,4.25
She Shot First,Bottle Logic Brewing,IPA - New England / Hazy,4,3.99
Fragaria,Main & Mill Brewing Company,Stout - Pastry,4.25,4.07
No Quams About It,Pulpit Rock Brewing Company,IPA - American,3.75,3.97
Cloth Ears,Lua Brewing,Sour - Fruited,3.5,3.98
Pushpop: Blastin’ Bajas,Lua Brewing,Sour - Fruited,4.5,4.28
Ope Sorry 'Bout That,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,3.75,3.99
Rauch Helles,Big Grove Brewery,Smoked Beer,4,3.62
Pushpop: Fully Loaded,Lua Brewing,Sour - Fruited,4.5,4.39
Say Yes,Lua Brewing,Sour - Fruited,4.25,4.42
More S'More,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,1,4.02
Year 9 (Red Label),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.5,4.44
Air Whale Hell,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.14
Bourbon Barrel Aged Dark Star (2021),Fremont Brewing,Stout - Imperial / Double Oatmeal,4.25,4.4
Elmer NMT,Omnipollo,Stout - Imperial / Double Pastry,4.25,4.29
Barrel Aged Work From Home (2022),Cerebral Brewing,Porter - Imperial / Double Coffee,4,4.32
KBS Hazelnut,Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.18
Grackle,Lua Brewing,Stout - Imperial / Double,4.5,4.58
Pumpkin Vanilla Bean,Infusion Brewing Company,Pumpkin / Yam Beer,3,3.67
Tropical Jam,Big Grove Brewery,Sour - Fruited,3.75,3.88
Mallow Vibes Orange Marshmallow Sour,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08
Mornin' Delight (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.55
Assassin Vanilla Bean (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.78
Term Oil Coconut Monster Cookie,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.5
Assassin Bramble Barrel,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.49
Assassin 2022,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.57
Wander,Lua Brewing,Stout - Imperial / Double,4.5,4.37
The Void,Drake's Brewing Company,Stout - Imperial / Double,4.25,4.28
"Sweets - Strawberry, Blackberry, Marshmallow & Lactose",Mountains Walking Brewery,Sour - Smoothie / Pastry,4.25,4.2
Orange Shandy,West O Beer,Shandy / Radler,3,3.42
5th Anniversary Barrel Aged Imperial Stout Blend,Bombastic Brewing ,Stout - Imperial / Double,3.75,4.31
Abraxas (2021),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.4
2020 Dark Charge Bourbon Barrel Aged,Braxton Brewing Company,Stout - Imperial / Double,3.5,4.15
Blue Ribbon Cinnamon Roll Stout,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,3.75,3.95
Peanut Butter Fluff,Gezellig Brewing Company,Lager - Amber,4,3.89
Mango Coaster,Toppling Goliath Brewing Co.,Lager - American,3.75,3.91
Oktoberfest,Toppling Goliath Brewing Co.,Märzen,3.5,3.82
Birthday Boi,Gezellig Brewing Company,Stout - Imperial / Double,4,4.22
Chocofetti (6th Anniversary Stout),Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4,4.23
The Details,Marto Brewing Company,Sour - Fruited,3.75,3.93
Within Us,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.25
Noema - Blend No. 3,New Image Brewing,Stout - Imperial / Double,4.25,4.21
Long Haired Freaky People,Drekker Brewing Company,IPA - Imperial / Double New England / Hazy,3.5,3.97
Cryopreservation (2022),Bottle Logic Brewing,Stout - Imperial / Double Milk,5,4.26
Furthermore,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.58
