Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Roxie Irish Red,Boone Valley Brewing Company,Red Ale - Irish,3.25,3.59,11/05/22,11/05/22
Willettized Coffee Stout,Lagunitas Brewing Company,Stout - Imperial / Double Coffee,4,4.16,11/05/22,11/05/22
Year 9 (Teal Label),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.43,11/03/22,11/03/22
Hazel,Mortalis Brewing Company,Stout - Imperial / Double Coffee,4.5,4.41,11/03/22,11/03/22
Nightmare On Brett (Aged in Leopold Bros Whiskey Barrels),Crooked Stave Artisan Beer Project,Wild Ale - American,4,4.25,11/03/22,11/03/22
She Shot First,Bottle Logic Brewing,IPA - New England / Hazy,4,3.99,11/03/22,11/03/22
Fragaria,Main & Mill Brewing Company,Stout - Pastry,4.25,4.07,10/26/22,10/26/22
No Quams About It,Pulpit Rock Brewing Company,IPA - American,3.75,3.97,10/26/22,10/26/22
Cloth Ears,Lua Brewing,Sour - Fruited,3.5,3.98,10/22/22,10/22/22
Pushpop: Blastin’ Bajas,Lua Brewing,Sour - Fruited,4.5,4.28,10/22/22,10/22/22
Ope Sorry 'Bout That,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,3.75,3.99,10/22/22,10/22/22
Rauch Helles,Big Grove Brewery,Smoked Beer,4,3.62,10/22/22,10/22/22
Pushpop: Fully Loaded,Lua Brewing,Sour - Fruited,4.5,4.39,10/19/22,10/19/22
Say Yes,Lua Brewing,Sour - Fruited,4.25,4.42,10/07/22,10/07/22
More S'More,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,1,4.02,10/05/22,10/05/22
Year 9 (Red Label),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.5,4.44,10/05/22,10/05/22
Air Whale Hell,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.14,10/05/22,10/05/22
Bourbon Barrel Aged Dark Star (2021),Fremont Brewing,Stout - Imperial / Double Oatmeal,4.25,4.4,10/05/22,10/05/22
Elmer NMT,Omnipollo,Stout - Imperial / Double Pastry,4.25,4.29,10/02/22,10/02/22
Barrel Aged Work From Home (2022),Cerebral Brewing,Porter - Imperial / Double Coffee,4,4.32,10/01/22,10/01/22
KBS Hazelnut,Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.18,10/01/22,10/01/22
Grackle,Lua Brewing,Stout - Imperial / Double,4.5,4.58,09/23/22,09/23/22
Pumpkin Vanilla Bean,Infusion Brewing Company,Pumpkin / Yam Beer,3,3.67,09/23/22,09/23/22
Tropical Jam,Big Grove Brewery,Sour - Fruited,3.75,3.88,09/22/22,09/22/22
Mallow Vibes Orange Marshmallow Sour,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08,09/22/22,09/22/22
Mornin' Delight (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.55,09/17/22,09/17/22
Assassin Vanilla Bean (2022),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.78,09/17/22,09/17/22
Term Oil Coconut Monster Cookie,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.5,09/17/22,09/17/22
Assassin Bramble Barrel,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.49,09/17/22,09/17/22
Assassin 2022,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.57,09/17/22,09/17/22
Wander,Lua Brewing,Stout - Imperial / Double,4.5,4.37,09/07/22,09/07/22
The Void,Drake's Brewing Company,Stout - Imperial / Double,4.25,4.28,09/07/22,09/07/22
"Sweets - Strawberry, Blackberry, Marshmallow & Lactose",Mountains Walking Brewery,Sour - Smoothie / Pastry,4.25,4.2,09/07/22,09/07/22
Orange Shandy,West O Beer,Shandy / Radler,3,3.42,09/04/22,09/04/22
5th Anniversary Barrel Aged Imperial Stout Blend,Bombastic Brewing ,Stout - Imperial / Double,3.75,4.31,08/28/22,08/28/22
Abraxas (2021),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.4,08/28/22,08/28/22
2020 Dark Charge Bourbon Barrel Aged,Braxton Brewing Company,Stout - Imperial / Double,3.5,4.15,08/28/22,08/28/22
Blue Ribbon Cinnamon Roll Stout,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,3.75,3.95,08/16/22,08/16/22
Peanut Butter Fluff,Gezellig Brewing Company,Lager - Amber,4,3.89,08/15/22,08/15/22
Mango Coaster,Toppling Goliath Brewing Co.,Lager - American,3.75,3.91,08/15/22,08/15/22
Oktoberfest,Toppling Goliath Brewing Co.,Märzen,3.5,3.82,08/15/22,08/15/22
Birthday Boi,Gezellig Brewing Company,Stout - Imperial / Double,4,4.22,08/15/22,08/15/22
