Beer,Brewery,Style,YourRating,GlobalRating
Hazel,Mortalis Brewing Company,Stout - Imperial / Double Coffee,4.25,4.41
Year 9 (Teal Label),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.43
Nightmare On Brett (Aged in Leopold Bros Whiskey Barrels),Crooked Stave Artisan Beer Project,Wild Ale - American,0.25,4.25
Bourbon County Brand Fourteen Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.44
Fragaria,Main & Mill Brewing Company,Stout - Pastry,4,4.07
Assassin Bramble Barrel,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.49
Pushpop: Parking Lot Wedding,Lua Brewing,Sour - Fruited,4.5,4.64
Nacho Daddy's Stout,Nacho Daddy,Stout - Milk / Sweet,3.5,3.58
Daddy's Little Girl,Nacho Daddy,Wheat Beer - Hefeweizen,3.25,3.49
Big Daddys Hoppy Pale Ale,Nacho Daddy,IPA - American,3.5,3.47
9 Mile Hefeweizen,The High Spot at Bluewater Grill,Wheat Beer - Hefeweizen,3.75,3.81
¡Champurrado!,White Elm Brewing Company,Stout - Imperial / Double,4.25,4.28
Wistful #1- Collab W/ Pulpit Rock,Lua Brewing,Stout - Imperial / Double,4.25,4.41
Barrel-Aged Safe Word,Cerebral Brewing,Stout - Imperial / Double Oatmeal,4.5,4.44
Wistful #2- Collab W/ Pulpit Rock,Lua Brewing,Stout - Imperial / Double,4.25,4.46
Focal Ratio,FiftyFifty Brewing Co.,Stout - Imperial / Double,4.25,4.32
Cake Day (2022),Bottle Logic Brewing,Stout - Imperial / Double Pastry,4.25,4.37
Pistachio Dream Dessert,Equilibrium Brewery,Stout - Imperial / Double,4.5,4.41
Pencil You In (2022),Corporate Ladder Brewing Company,Stout - Imperial / Double Pastry,4.5,4.33
Barrel Aged Peso,Transient Artisan Ales,Stout - Imperial / Double Pastry,4.25,4.36
Jam the Radar (2022),Bottle Logic Brewing,Stout - Imperial / Double Pastry,4.25,4.34
Starry Noche (2021),WeldWerks Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.55
Chocolate Coconut Candy Stout,Untitled Art,Stout - Imperial / Double Pastry,3.5,3.95
Air Whale Hell,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.14
Year 9 (Red Label),Cycle Brewing Company,Stout - Imperial / Double Pastry,4.5,4.44
Bourbon Barrel Aged Dark Star,Fremont Brewing,Stout - Imperial / Double Oatmeal,4.25,4.32
Blindside,Harbottle Brewing Company,IPA - Black / Cascadian Dark Ale,3,3.86
Maris the Classy Otter,Tombstone Brewing Company,Barleywine - English,3,3.97
Circuitous,Pueblo Vida Brewing Company,IPA - Imperial / Double New England / Hazy,3,4.29
E18 Light American Lager,E18 Brewing Co.,Lager - American Light,3.5,3.38
Amber Ale,Oak Creek Brewing Co. ,Red Ale - American Amber / Red,3.25,3.51
Nut Brown Ale,Oak Creek Brewing Co. ,Brown Ale - American,2.5,3.64
Totally Naked,New Glarus Brewing Company,Lager - American Light,3.25,3.57
Eazy Lover W/ Mosaic & Simcoe,Pulpit Rock Brewing Company,IPA - Session,3.75,4.06
Strawberry Rhubarb,New Glarus Brewing Company,Fruit Beer,3.75,4.21
Black Currant 22,New Glarus Brewing Company,Fruit Beer,2.5,4.12
Moon Man,New Glarus Brewing Company,Pale Ale - American,3.5,3.83
Kid Kölsch,New Glarus Brewing Company,Kölsch,3.5,3.8
Boomslang,Lua Brewing,IPA - Imperial / Double,3.75,4.24
Dirt Preachers,Lua Brewing,IPA - Rye,3.5,3.86
No Quams About It,Pulpit Rock Brewing Company,IPA - American,4,3.97
Barrel-Aged Pastry Stout - Apple Cinnamon Strudel ,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.31
The Muffin Man,Pulpit Rock Brewing Company,Sour - Other,3,4.29
Gemini | Mango + Raspberry + Burst,Mortalis Brewing Company,Sour - Smoothie / Pastry,4,4.38
Hydra | Melted Gelato,Mortalis Brewing Company,Sour - Smoothie / Pastry,4.5,4.51
Blackberry Lemonade,Lake Time Brewery,Sour - Fruited,3.75,3.81
Dark Trifecta Coconut Cinnamon,Streetside Brewery,Stout - Imperial / Double Pastry,4.25,4.29
Settling In: Macaroon,Alma Mader Brewing,Stout - Imperial / Double Milk,4.25,4.24
