Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Hazel,Mortalis Brewing Company,Stout - Imperial / Double Coffee,4.25,4.41,11/06/22,11/06/22
Year 9 (Teal Label),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.43,11/06/22,11/06/22
Nightmare On Brett (Aged in Leopold Bros Whiskey Barrels),Crooked Stave Artisan Beer Project,Wild Ale - American,0.25,4.25,11/06/22,11/06/22
Bourbon County Brand Fourteen Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.44,11/02/22,11/02/22
Fragaria,Main & Mill Brewing Company,Stout - Pastry,4,4.07,10/30/22,10/30/22
Assassin Bramble Barrel,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.49,10/30/22,10/30/22
Pushpop: Parking Lot Wedding,Lua Brewing,Sour - Fruited,4.5,4.64,10/30/22,10/30/22
Nacho Daddy's Stout,Nacho Daddy,Stout - Milk / Sweet,3.5,3.58,10/23/22,10/23/22
Daddy's Little Girl,Nacho Daddy,Wheat Beer - Hefeweizen,3.25,3.49,10/23/22,10/23/22
Big Daddys Hoppy Pale Ale,Nacho Daddy,IPA - American,3.5,3.47,10/23/22,10/23/22
9 Mile Hefeweizen,The High Spot at Bluewater Grill,Wheat Beer - Hefeweizen,3.75,3.81,10/22/22,10/22/22
¡Champurrado!,White Elm Brewing Company,Stout - Imperial / Double,4.25,4.28,10/19/22,10/19/22
Wistful #1- Collab W/ Pulpit Rock,Lua Brewing,Stout - Imperial / Double,4.25,4.41,10/18/22,10/18/22
Barrel-Aged Safe Word,Cerebral Brewing,Stout - Imperial / Double Oatmeal,4.5,4.44,10/15/22,10/15/22
Wistful #2- Collab W/ Pulpit Rock,Lua Brewing,Stout - Imperial / Double,4.25,4.46,10/15/22,10/15/22
Focal Ratio,FiftyFifty Brewing Co.,Stout - Imperial / Double,4.25,4.32,10/13/22,10/13/22
Cake Day (2022),Bottle Logic Brewing,Stout - Imperial / Double Pastry,4.25,4.37,10/12/22,10/12/22
Pistachio Dream Dessert,Equilibrium Brewery,Stout - Imperial / Double,4.5,4.41,10/12/22,10/12/22
Pencil You In (2022),Corporate Ladder Brewing Company,Stout - Imperial / Double Pastry,4.5,4.33,10/11/22,10/11/22
Barrel Aged Peso,Transient Artisan Ales,Stout - Imperial / Double Pastry,4.25,4.36,10/11/22,10/11/22
Jam the Radar (2022),Bottle Logic Brewing,Stout - Imperial / Double Pastry,4.25,4.34,10/09/22,10/09/22
